Country	Population	GDP per Capita PPP	Inflation Rate	Number of Procedures to Start a Business	Average Highest Tax Rate	Average Democracy	Average Life Expectancy	Average Number of Procedures to Start a Business	Average Infant Mortality Rate	Developing Status
Albania	3137503.2	4955.27	2.370728	11.0	10.719999999999999	3.36	72.52949090909091	11.0	34.0	Developing
Algeria	33347948.0	6375.64	2.531136	14.0	20.388888888888886	0.6	67.02943727272726	14.0	55.833333333333336	Developing
Argentina	39120456.0	13652.41	6.589051	15.0	16.733333333333334	6.64	72.20117909090908	15.0	23.983333333333334	Developing
Armenia	3007194.6	5011.034	2.888342	9.0	3.2	5.142857142857143	70.37333818181818	9.75	43.949999999999996	Developing
Australia	20520941.0	30677.87	3.538487	2.0	8.7	10.0	77.89248363636365	2.0	7.175	Developed
Austria	8240029.0	30735.78	1.453028	9.0	5.51111111111111	10.0	76.00979307692307	9.0	7.6000000000000005	Developed
Bangladesh	144300000.0	1916.201	6.768621	8.0	52.455555555555556	3.36	56.51397272727274	8.0	91.33333333333333	Developing
Belgium	10485710.0	30004.2	1.790057	4.0	4.966666666666667	10.0	75.986803	4.75	7.411538461538461	Developed
Benin	8693272.2	1015.948	3.782177	7.0	17.816666666666666	3.5	52.779810909090905	7.0	107.16666666666667	Developing
Bolivia	9344741.1	2579.16	4.280355	15.0	11.425	8.08	59.41049727272728	15.0	82.5	Developing
Botswana	1757884.8	11313.27	11.55522	11.0	8.144444444444444	8.04	55.06703181818182	11.0	61.333333333333336	Developing
Brazil	188700000.0	7825.775	4.183747	17.0	20.974999999999998	6.68	66.97672636363636	17.0	47.5	Developing
Bulgaria	7699020.0	8753.894	7.261613	9.0	13.414285714285715	4.96	71.49728807692307	10.5	15.285769230769231	Developing
Burundi	7833157.4	629.8119	2.809015	11.0	28.633333333333336	0.17647058823529413	44.60933909090909	11.0	114.33333333333333	Developing
Canada	32556463.0	30277.87	2.009031	2.0	6.9222222222222225	10.0	77.6105552	2.0	6.9409090909090905	Developed
Chile	16451837.0	10938.57	3.392176	9.0	11.211111111111112	5.4	74.19319181818182	9.0	17.916666666666668	Developed
China	1312000000.0	6620.673	1.464414	13.0	26.466666666666672	0.0	69.39831166666669	13.0	36.5	Developing
Colombia	45556000.0	6886.043	4.296307	13.0	19.133333333333336	7.76	69.24565181818181	14.666666666666666	26.016666666666666	Developing
Costa Rica	4387859.3	9646.492	11.47053	11.0	18.38888888888889	10.0	76.70490149999999	11.0	16.633333333333333	Developing
Croatia	4437665.5	12164.04	3.208333	10.0	9.360000000000001	3.0	72.16671333333333	11.5	11.93125	Developing
Czech Republic	10218426.0	19699.53	2.538863	10.0	5.816666666666666	10.0	72.82400576923077	10.0	8.830769230769231	Developing
Denmark	5428524.1	31422.48	1.890073	3.0	4.777777777777778	10.0	75.53598461538462	3.5	6.346153846153846	Developed
Dominican Republic	9614000.0	7617.818	7.572805	10.0	15.442857142857145	6.64	65.58222545454545	10.0	46.833333333333336	Developing
Ecuador	13412920.0	3981.582	3.034874	14.0	18.675	8.2	69.69898909090908	14.0	40.333333333333336	Developing
Egypt Arab Rep.	75396909.0	4031.033	7.644526	10.0	27.744444444444444	0.0	63.79309000000001	11.5	69.16666666666667	Developing
El Salvador	6991735.6	4775.517	4.037124	10.0	14.325	6.666666666666667	65.56031363636363	11.5	47.0	Developing
Estonia	1341042.1	15885.01	4.432323	6.0	0.42000000000000004	7.0	69.96166363636362	6.0	11.297777777777778	Developing
Fiji	853485.45	5529.363	2.492589	8.0	12.4	6.208333333333333	66.54658090909089	7.666666666666667	21.033333333333335	Developing
Finland	5255049.4	30420.32	1.566667	3.0	4.933333333333334	10.0	75.93880846153846	3.0	4.8769230769230765	Developed
France	61037508.0	28876.53	1.623665	7.0	4.777777777777778	8.76	77.17099423076922	7.5	6.615999999999999	Developed
Germany	82411439.0	27437.59	1.708612	9.0	4.777777777777778	10.0	76.447966	9.0	6.313043478260869	Developed
Ghana	22532600.0	2299.105	10.91517	12.0	17.05	2.25	55.855410000000006	12.0	76.83333333333333	Developing
Greece	11112985.0	21674.64	3.1975	15.0	4.777777777777778	9.52	77.35365952380953	15.0	10.25	Developed
Guatemala	12902477.0	4150.209	6.454941	13.0	18.766666666666666	4.666666666666667	62.708940000000005	14.5	58.833333333333336	Developing
Guinea-Bissau	1632865.4	744.7805	1.954737	17.0	13.440000000000001	1.608695652173913	42.41674818181818	17.0	147.83333333333334	Developing
Guyana	751174.39	4203.596	7.243923	8.0	13.733333333333334	3.12	61.19787545454546	8.0	61.333333333333336	Developing
Haiti	8646849.6	1479.339	13.06571	12.0	12.757142857142856	2.1904761904761907	50.34228909090909	12.0	100.0	Developing
Honduras	7354979.1	3170.327	5.577752	13.0	13.3375	6.086956521739131	65.13022181818181	13.0	47.0	Developing
Hungary	10056253.0	16927.87	3.878312	6.0	9.016666666666666	6.333333333333333	70.18530115384615	6.0	13.665384615384614	Developing
India	1110000000.0	3307.946	5.796516	11.0	51.233333333333334	8.4	59.64878090909092	11.0	82.86399999999999	Developing
Indonesia	223000000.0	3570.061	13.11042	12.0	13.066666666666666	1.72	62.11235090909092	12.0	53.5	Developing
Ireland	4209446.3	36237.93	3.938895	4.0	4.777777777777778	10.0	75.5936	4.0	7.315999999999999	Developed
Italy	58570996.0	26495.73	2.090843	9.0	4.777777777777778	10.0	77.40497384615385	9.0	7.953846153846153	Developed
Jamaica	2663735.5	3907.428	8.591326	6.0	12.455555555555556	9.52	71.1010781818182	6.5	19.25	Developing
Japan	127600000.0	27991.92	0.2416264	8.0	5.3	10.0	79.32305230769231	10.25	4.530769230769231	Developed
Jordan	5586000.0	5175.993	6.251725	11.0	16.5	1.16	67.87166272727272	11.75	33.666666666666664	Developing
Kenya	35143188.0	1137.366	14.45373	13.0	28.077777777777776	1.36	54.34377	12.5	71.66666666666667	Developing
Korea Rep.	48418077.0	20571.57	2.241667	12.0	12.61111111111111	5.25	72.37820500000001	12.0	7.959999999999999	Developing
Latvia	2286633.8	13724.49	6.555472	5.0	3.6800000000000006	8.0	69.34717576923077	5.0	13.716666666666669	Developing
Lithuania	3396862.8	14020.39	3.835091	7.0	2.35	10.0	70.88149999999999	7.75	11.144444444444446	Developing
Madagascar	19086826.0	840.1504	10.77225	10.0	20.5375	4.25	51.988353636363634	12.25	94.5	Developing
Malawi	13162995.0	631.4512	13.97429	10.0	16.7375	2.6	43.54290181818182	10.0	120.38333333333333	Developing
Malaysia	25766596.0	10090.96	3.609236	9.0	9.88888888888889	4.6	70.65809363636365	9.0	17.333333333333332	Developing
Mali	13910874.0	942.0472	1.543526	13.0	19.422222222222224	3.4583333333333335	45.84561909090909	13.0	141.33333333333334	Developing
Mauritius	1253434.3	11622.13	8.913768	6.0	27.355555555555554	9.92	69.99972944444444	6.0	21.62	Developing
Mexico	104200000.0	9967.299	3.629377	8.0	18.22222222222222	3.6	72.58449099999999	8.75	35.5	Developing
Morocco	30496553.0	4346.354	3.284762	6.0	30.477777777777778	0.0	64.92621363636364	7.25	64.66666666666667	Developing
Namibia	2050820.9	7037.759	5.053246	10.0	7.922222222222222	6.0	57.04662272727273	10.0	57.833333333333336	Developing
Netherlands	16371354.0	31305.98	1.1378	6.0	4.777777777777778	10.0	77.21816961538462	6.75	6.326923076923078	Developed
New Zealand	4125375.8	23109.26	3.364987	2.0	7.900000000000001	10.0	76.22597538461538	2.0	8.305384615384616	Developed
Niger	14416684.0	700.2894	0.0405	11.0	13.680000000000001	2.3333333333333335	41.38500727272728	12.5	176.33333333333334	Developing
Nigeria	144700000.0	1008.085	8.239527	9.0	27.512500000000003	2.3333333333333335	45.200801818181816	9.5	114.0	Developing
Norway	4643659.9	37667.33	2.33215	4.0	3.5	10.0	77.41290923076923	4.0	5.776923076923077	Developed
Pakistan	159000000.0	2206.29	7.921084	11.0	43.62222222222223	3.44	60.76093692307693	11.0	95.33333333333333	Developing
Paraguay	6016000.0	4368.106	9.594633	17.0	25.45555555555556	4.04	68.81631818181819	17.0	31.5	Developing
Peru	28368759.0	5725.068	2.001719	10.0	26.422222222222224	6.041666666666667	66.15897999999999	10.0	53.666666666666664	Developing
Philippines	84589763.0	4730.579	6.24037	11.0	16.18888888888889	6.0	66.38992363636363	11.0	38.0	Developing
Poland	38112413.0	13349.33	1.114944	10.0	10.287500000000001	5.4	72.07438961538462	10.0	12.433333333333332	Developing
Portugal	10589652.0	18965.97	2.743315	8.0	3.814285714285714	9.92	74.8888125	10.25	11.85	Developed
Romania	21541893.0	8721.791	6.581401	5.0	13.583333333333334	4.291666666666667	69.93689538461538	5.25	22.784615384615385	Developing
Russian Federation	142400000.0	10349.98	9.678765	7.0	11.016666666666666	5.846153846153846	66.88238346153847	9.0	21.633333333333336	Developing
Senegal	11928141.0	1598.648	2.113459	10.0	21.925	3.2	52.71599545454546	10.0	74.1	Developing
Singapore	4393208.1	28305.42	0.962416	6.0	0.2	2.0	76.14637058823529	6.5	5.956	Developed
Slovenia	1997591.6	20890.2	2.458354	9.0	8.559999999999999	10.0	74.07428666666667	9.0	6.845000000000001	Developing
South Africa	47390900.0	10337.77	4.641625	9.0	9.844444444444443	7.956521739130435	53.78783571428572	9.0	52.5	Developing
Spain	43546305.0	24680.95	3.51582	10.0	4.777777777777778	9.92	77.62985923076923	10.0	6.891153846153846	Developed
Sri Lanka	19771320.0	4391.402	13.69012	8.0	18.688888888888886	6.08	71.55532545454545	8.0	23.483333333333334	Developing
Sweden	9045727.5	30392.45	1.360215	3.0	3.955555555555555	10.0	78.18661384615385	3.0	4.957692307692308	Developed
Switzerland	7441474.8	32775.22	1.060454	6.0	3.3111111111111113	10.0	78.1719619230769	6.0	5.915384615384616	Developed
Tanzania	39477000.0	649.5276	9.784363	13.0	20.8375	1.0	51.02646636363636	13.0	95.33333333333333	Developing
Thailand	64724422.0	8065.134	4.641768	8.0	23.700000000000003	6.16	68.00393272727273	8.0	28.75	Developing
Togo	6302156.9	1306.041	2.226584	13.0	13.98	0.5217391304347826	55.84767636363635	13.0	88.5	Developing
Tunisia	10132252.0	7758.151	4.490513	10.0	28.03333333333334	0.48	70.41595149999999	10.0	40.666666666666664	Developing
Turkey	72935323.0	7842.153	9.456085	8.0	14.311111111111112	7.36	67.650145	9.25	61.416666666666664	Developing
Uganda	29874367.0	1312.819	6.605252	17.0	14.549999999999999	0.8333333333333334	46.81661	17.0	92.83333333333333	Developing
Ukraine	46571153.0	6605.197	9.075585	10.0	8.94	6.357142857142857	68.66179454545454	13.75	18.95	Developing
United Kingdom	60360800.0	30237.16	3.19486	6.0	4.777777777777778	10.0	76.19308916666667	6.0	7.503846153846155	Developed
United States	299000000.0	38165.25	3.225944	5.0	5.044444444444445	10.0	75.64780576923077	5.0	8.84	Developed
Uruguay	3313000.0	9897.784	6.398903	10.0	16.575000000000003	7.84	73.5126794117647	10.75	21.900000000000002	Developing
Venezuela RB	27020920.0	6485.327	13.65716	16.0	17.8875	8.08	72.07665105263158	16.0	26.183333333333334	Developing
